ccaa_iso;fecha;num_casos;casos_ac;num_casos_prueba_pcr;num_casos_prueba_test_ac;num_casos_prueba_otras;num_casos_prueba_desconocida
AR;2020-04-28;126;5772;28;0;1;97
AR;2020-04-29;39;5811;23;0;0;16
AR;2020-04-30;38;5849;25;0;0;13
AR;2020-05-01;15;5864;15;0;0;0
AR;2020-05-02;20;5884;16;0;1;3
AR;2020-05-03;17;5901;15;0;2;0
AR;2020-05-04;30;5931;30;0;0;0
AR;2020-05-05;43;5974;7;0;0;36
AR;2020-05-06;49;6023;10;0;2;37
AR;2020-05-07;32;6055;30;0;0;2
AR;2020-05-08;25;6080;23;0;0;2
AR;2020-05-09;15;6095;15;0;0;0
AR;2020-05-10;10;6105;9;0;0;1
AR;2020-05-11;14;6119;12;0;1;1
AR;2020-05-12;19;6138;17;0;0;2
AR;2020-05-13;23;6161;23;0;0;0
AR;2020-05-14;21;6182;21;0;0;0
AR;2020-05-15;19;6201;19;0;0;0
AR;2020-05-16;19;6220;17;0;0;2
AR;2020-05-17;13;6233;13;0;0;0
AR;2020-05-18;9;6242;9;0;0;0
AR;2020-05-19;14;6256;14;0;0;0
AR;2020-05-20;13;6269;12;0;1;0
AR;2020-05-21;13;6282;13;0;0;0
AR;2020-05-22;13;6295;12;0;1;0
AR;2020-05-23;12;6307;10;0;2;0
AR;2020-05-24;9;6316;9;0;0;0
AR;2020-05-25;9;6325;9;0;0;0
AR;2020-05-26;10;6335;10;0;0;0
AR;2020-05-27;14;6349;13;0;0;1
AR;2020-05-28;4;6353;4;0;0;0
AR;2020-05-29;15;6368;15;0;0;0
AR;2020-05-30;4;6372;3;0;1;0
AR;2020-05-31;9;6381;9;0;0;0
AR;2020-06-01;6;6387;6;0;0;0
AR;2020-06-02;12;6399;11;0;1;0
AR;2020-06-03;13;6412;13;0;0;0
AR;2020-06-04;4;6416;3;0;1;0
AR;2020-06-05;7;6423;7;0;0;0
AR;2020-06-06;4;6427;4;0;0;0
AR;2020-06-07;8;6435;8;0;0;0
AR;2020-06-08;3;6438;3;0;0;0
AR;2020-06-09;4;6442;4;0;0;0
AR;2020-06-10;4;6446;4;0;0;0
AR;2020-06-11;4;6450;4;0;0;0
AR;2020-06-12;12;6462;12;0;0;0
