"","longitude","latitude","username","total_oc"
"479",12.46108113,41.89154,"Fabrizio Paoletti",5
"480",12.5,41.9,"Marco Luci",5
"481",12.5,41.9,"Giovanni Ricco",5
"482",12.50033,41.90622,"Francesco Trimani",5
"483",12.5,41.9,"simon",5
"484",12.5,41.9,"Enlace Arquitectura",5
"485",12.50264004,41.90049883,"ladfoodie",5
"486",12.5,41.9,"Tony Romano",5
"487",12.49873459,41.91616997,"Pentole Agnelli Roma",5
"488",12.440754,41.9656349,"Asilo Nido MeAgape",5
"489",12.4965604,41.90125622,"Andidero Management",5
"490",12.5,41.9,"Simone Ricci",5
"491",12.45242,41.93356,"indoroma   🇮🇩 🔶🔴",5
"492",12.46986,41.89712,"tipimini",5
"493",12.45551884,41.90809408,"ROMA SHOP",5
"494",12.53896654,41.90368631,"DenisNightPanicParty",5
"495",12.454032,41.902273,"Diógenes Dantas",5
"496",12.50248641,41.89946859,"Io Giornalista Tv",5
"497",12.50133,41.91276,"The Mirror Stage",5
"498",12.50658906,41.88660844,"Greg Miller, Ph.D.",5
"499",12.45444444,41.90638889,"Diógenes Dantas",5
"500",12.46716,41.92794,"William Nessuno",5
"501",12.4394455,41.972633,"SuXGio",5
"502",12.5,41.9,"Massimo De Francesca",5
"503",12.5,41.9,"Lucia De Marchi",5
"504",12.46623368,41.90215729,"Mr. James Dean",5
"505",12.49244213,41.89023406,"Alex_not",5
"506",12.45790476,41.90264382,"Jocelle H. Hilario",5
"507",12.5,41.9,"Miss ME",5
"508",12.457874,41.933699,"Festina Lente",5
"509",12.5,41.9,"DimSum",5
"510",12.46623368,41.90215729,"Karo´s Photodiary",5
"511",12.5,41.9,"Gloria Giacosa",5
"512",12.5,41.9,"isabel de lorenzo",5
"513",12.4849,41.90266,"Marchesa d'Aragona",5
"514",12.5,41.9,"Bianca Lupperini",5
"515",12.48205833,41.90595,"Diógenes Dantas",5
"516",12.5,41.9,"Frank J. Dürring",5
"517",12.52463,41.87093,"JUAN ODIERNO",5
"518",12.45409805,41.90704631,"vincenzo circosta",5
"519",12.5,41.9,"amedeo colace",5
"520",12.48010397,41.90397789,"Dino de bellis",5
"521",12.49267,41.9048,"Royal Well Roma",5
"522",12.47756113,41.90223994,"Marcello Di Lorenzo",5
"523",12.4714603,41.8860207,"La Sabry",5
